english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
accident,accident,事故；意外,cognate,0.95,0.10,high,2,英法核心义高度重合,llm_v2_human_reviewed,true,cognate|daily-life|noun,ready,pending,unexpected event that causes harm,événement imprévu qui cause un dommage,事故；意外,The accident blocked the road this morning.,L'accident a bloqué la route ce matin.,今天早上的事故堵住了道路。,high
admission,admission,录取；入场,cognate,0.90,0.18,medium,2,共享接受进入义,llm_v2_human_reviewed,true,cognate|school|noun,ready,pending,entry or acceptance,entrée ou acceptation,录取；入场,Her admission to the program made her family proud.,Son admission au programme a rendu sa famille fière.,她被项目录取让家人很自豪。,high
ambulance,ambulance,救护车,cognate,0.98,0.05,high,1,日常医疗义完全重合,llm_v2_human_reviewed,true,cognate|daily-life|noun,ready,pending,emergency medical vehicle,véhicule de secours médical,救护车,The ambulance arrived in five minutes.,L'ambulance est arrivée en cinq minutes.,救护车五分钟内就到了。,high
ambition,ambition,抱负；志向,cognate,0.94,0.10,medium,2,抽象目标义稳定一致,llm_v2_human_reviewed,true,cognate|school|noun,ready,pending,strong desire to succeed,fort désir de réussir,抱负；志向,Her ambition is to become a doctor.,Son ambition est de devenir médecin.,她的志向是成为医生。,high
architecture,architecture,建筑学；建筑风格,cognate,0.97,0.06,medium,3,学术和日常义都高度一致,llm_v2_human_reviewed,true,cognate|school|noun,ready,pending,design and style of buildings,art et style des bâtiments,建筑学；建筑风格,We studied modern architecture in class.,Nous avons étudié l'architecture moderne en cours.,我们在课上学习了现代建筑。,high
budget,budget,预算,cognate,0.96,0.08,high,1,家庭和工作语境都稳定,llm_v2_human_reviewed,true,cognate|family|noun,ready,pending,planned amount of money,somme d'argent prévue,预算,Our family budget is tight this month.,Le budget de notre famille est serré ce mois ci.,我们家这个月预算很紧。,high
capital,capital,首都；资本,cognate,0.92,0.12,medium,2,核心高频义基本一致,llm_v2_human_reviewed,true,cognate|geography|noun,ready,pending,main city of a country or investment money,ville principale d'un pays ou argent d'investissement,首都；资本,Paris is not the capital of Canada.,Paris n'est pas la capitale du Canada.,巴黎不是加拿大的首都。,high
conclusion,conclusion,结论,cognate,0.97,0.06,medium,2,推理终点义高度重合,llm_v2_human_reviewed,true,cognate|school|noun,ready,pending,final judgment after thinking,résultat final après réflexion,结论,The report reaches a clear conclusion.,Le rapport arrive à une conclusion claire.,报告得出了明确结论。,high
decoration,décoration,装饰；装饰品,cognate,0.95,0.09,low,1,家庭和课堂义都清晰一致,llm_v2_human_reviewed,true,cognate|classroom|noun,ready,pending,something that makes a place look better,élément qui embellit un lieu,装饰；装饰品,The classroom decoration looks cheerful.,La décoration de la classe paraît joyeuse.,教室装饰看起来很活泼。,high
definition,définition,定义,cognate,0.98,0.05,medium,1,课堂语境高度稳定,llm_v2_human_reviewed,true,cognate|classroom|noun,ready,pending,explanation of a word or idea,explication d'un mot ou d'une idée,定义,The teacher asked for a simple definition.,Le professeur a demandé une définition simple.,老师要求给出一个简单定义。,high
destination,destination,目的地,cognate,0.96,0.07,high,1,旅行义完全重合,llm_v2_human_reviewed,true,cognate|travel|noun,ready,pending,place where someone is going,lieu où quelqu'un va,目的地,Our destination is still two hours away.,Notre destination est encore à deux heures.,我们离目的地还有两个小时。,high
document,document,文件；文档,cognate,0.99,0.04,high,1,办公义高度一致,llm_v2_human_reviewed,true,cognate|work|noun,ready,pending,official paper or digital file,papier officiel ou fichier numérique,文件；文档,Please send the document before noon.,Merci d'envoyer le document avant midi.,请在中午前发送文件。,high
election,élection,选举,cognate,0.97,0.06,medium,2,社会语境义稳定重合,llm_v2_human_reviewed,true,cognate|society|noun,ready,pending,official process of choosing leaders,processus officiel pour choisir des dirigeants,选举,The election will be held next week.,L'élection aura lieu la semaine prochaine.,选举将在下周举行。,high
festival,festival,节庆活动,cognate,0.95,0.08,medium,1,文化活动义一致,llm_v2_human_reviewed,true,cognate|culture|noun,ready,pending,public celebration with events,fête publique avec des activités,节庆活动,The town festival starts on Friday.,Le festival de la ville commence vendredi.,城里的节庆活动周五开始。,high
invitation,invitation,邀请,cognate,0.98,0.05,high,1,社交场景义稳定一致,llm_v2_human_reviewed,true,cognate|daily-life|noun,ready,pending,request asking someone to come,demande de venir,邀请,I sent the invitation this morning.,J'ai envoyé l'invitation ce matin.,我今天早上发出了邀请。,high
solution,solution,解决办法；溶液,cognate,0.97,0.06,medium,2,问题解决义高度重合,llm_v2_human_reviewed,true,cognate|work|noun,ready,pending,answer to a problem,réponse à un problème,解决办法；溶液,We need a practical solution today.,Nous avons besoin d'une solution pratique aujourd'hui.,我们今天需要一个实际可行的解决办法。,high
car,car,汽车；因为,orthographic_similar,0.02,0.96,high,2,同形但词类和语义完全不同,llm_v2_human_reviewed,true,orthographic|daily-life|core,ready,pending,road vehicle,because,汽车；因为,My car is parked outside.,Je pars tôt car je suis fatigué.,我的车停在外面；我早走因为我累了。,high
chair,chair,椅子；肉,orthographic_similar,0.01,0.97,high,4,同形高风险近形词,llm_v2_human_reviewed,true,orthographic|food|noun,ready,pending,seat for one person,flesh of an animal,椅子；肉,Please pull up a chair.,La chair du poulet est tendre.,请搬把椅子过来；鸡肉很嫩。,high
