english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
class,classe,班级；课堂,partial_cognate,0.62,0.46,medium,2,共享学校义 但英语还常指课时,llm_v2_human_reviewed,true,partial-cognate|classroom|noun,ready,pending,group of students or a lesson,groupe d'élèves ou cours,班级；课堂,Our class starts at eight.,La classe commence à huit heures.,我们的课八点开始；这个班八点开始上课。,high
course,cours,课程；课,partial_cognate,0.58,0.52,medium,3,共享学校义 但英语多义更广,llm_v2_human_reviewed,true,partial-cognate|education|noun,ready,pending,series of lessons on a subject,ensemble de leçons sur une matière,课程；课,She is taking a history course this term.,Elle suit un cours d'histoire ce semestre.,她这学期在上历史课；她这学期在学历史这门课。,high
exam,examen,考试；测验,cognate,0.92,0.14,high,1,学校义高度重合,llm_v2_human_reviewed,true,cognate|classroom|noun,ready,pending,formal test of knowledge,épreuve officielle pour évaluer des connaissances,考试；测验,The exam is on Friday morning.,L'examen a lieu vendredi matin.,考试在周五上午；考试安排在周五上午。,high
exercise,exercice,练习；训练,partial_cognate,0.67,0.38,medium,2,共享练习义 但法语常扩到训练活动,llm_v2_human_reviewed,true,partial-cognate|classroom|noun,ready,pending,task for practice,activité de pratique ou d'entraînement,练习；训练,Finish the grammar exercise before lunch.,Termine l'exercice de grammaire avant midi.,午饭前做完这道语法练习；中午前完成这项语法练习。,high
correction,correction,改正；批改,cognate,0.90,0.16,medium,2,课堂改错义稳定一致,llm_v2_human_reviewed,true,cognate|classroom|noun,ready,pending,act of fixing an error,action de corriger une erreur,改正；批改,The correction of the quiz took one hour.,La correction du quiz a pris une heure.,这次小测的批改花了一小时；这次小测的批改用了一小时。,high
discipline,discipline,纪律；学科,cognate,0.88,0.18,medium,2,课堂纪律和学科义都能对齐,llm_v2_human_reviewed,true,cognate|education|noun,ready,pending,controlled behavior or field of study,respect des règles ou domaine d'étude,纪律；学科,Math is a demanding discipline.,Les mathématiques sont une discipline exigeante.,数学是一门要求很高的学科；数学是一门要求严格的学科。,high
faculty,faculté,教师队伍；学院,false_friend,0.22,0.83,medium,4,英语常指教师群体 法语常指学院院系,llm_v2_human_reviewed,true,false-friend|education|noun,ready,pending,teaching staff of a school,département ou école au sein d'une université,教师队伍；学院院系,The faculty met after class.,Il étudie à la faculté de droit.,教师团队课后开会；他在法学院学习。,high
dissertation,dissertation,博士论文；议论文,partial_cognate,0.44,0.67,medium,4,都指正式写作 但教学场景差异大,llm_v2_human_reviewed,true,partial-cognate|academic|noun,ready,pending,long academic thesis for a degree,rédaction scolaire structurée sur un sujet,博士论文；议论文,She is writing her dissertation this year.,Il rend une dissertation de philosophie demain.,她今年在写博士论文；他明天要交一篇哲学议论文。,high
essay,essai,短文；尝试,false_friend,0.18,0.86,high,4,英语作文义会误导法语尝试义,llm_v2_human_reviewed,true,false-friend|education|noun,ready,pending,short piece of academic writing,tentative ou essai,短文；尝试,His essay on climate was clear.,Cet essai du moteur a réussi.,他那篇关于气候的短文很清楚；这次发动机试验成功了。,high
manual,manuel,手册；课本,partial_cognate,0.48,0.63,medium,4,英语多指操作手册 法语课堂里常指教材,llm_v2_human_reviewed,true,partial-cognate|classroom|noun,ready,pending,instruction book for using something,livre scolaire ou manuel,使用手册；课本,Read the safety manual before the lab.,Ouvre ton manuel à la page dix.,进实验室前先读安全手册；把课本翻到第十页。,high
seminar,séminaire,研讨课；研讨会,cognate,0.89,0.18,medium,3,高校语境下对应稳定,llm_v2_human_reviewed,true,cognate|academic|noun,ready,pending,small class for discussion,cours ou réunion d'étude en petit groupe,研讨课；研讨会,The seminar meets every Tuesday.,Le séminaire a lieu chaque mardi.,研讨课每周二上；研讨会每周二举行。,high
doctorate,doctorat,博士学位,cognate,0.96,0.08,high,3,学位义高度重合,llm_v2_human_reviewed,true,cognate|academic|noun,ready,pending,highest university degree,plus haut diplôme universitaire,博士学位,She finished her doctorate in chemistry.,Elle a terminé son doctorat en chimie.,她完成了化学博士学位；她读完了化学博士。,high
principal,principal,主要的；校长,partial_cognate,0.39,0.69,medium,4,英语常见形容词义会干扰学校名词义,llm_v2_human_reviewed,true,partial-cognate|school|adjective,ready,pending,most important,chef d'un collège ou principal,主要的；校长,The principal reason is cost.,Le principal parle aux parents ce soir.,主要原因是成本；校长今晚要和家长谈话。,high
revision,révision,修改；复习,partial_cognate,0.53,0.58,medium,3,英语常指修改 法语学生常说复习,llm_v2_human_reviewed,true,partial-cognate|classroom|noun,ready,pending,act of changing and improving a text,étude pour préparer un examen,修改；复习,My revision of the essay took all night.,La révision avant l'examen commence ce soir.,我改这篇文章改了一整晚；今晚开始考前复习。,high
copy,copie,复印件；试卷,partial_cognate,0.55,0.51,medium,3,共享副本义 但法语课堂里常指试卷,llm_v2_human_reviewed,true,partial-cognate|classroom|noun,ready,pending,duplicate of a document,reproduction ou feuille d'élève,复印件；试卷,Please hand me a copy of the worksheet.,Le professeur ramasse les copies à la fin.,请把讲义的复印件递给我；老师最后收走试卷。,high
certificate,certificat,证书；证明,cognate,0.91,0.16,medium,2,学校和行政场景都常用,llm_v2_human_reviewed,true,cognate|education|admin,ready,pending,official document that proves something,document officiel qui atteste un fait,证书；证明,She received a language certificate in June.,Il a présenté son certificat au bureau.,她六月拿到了语言证书；他把证明交到了办公室。,high
grade,grade,成绩；军衔,orthographic_similar,0.12,0.88,high,4,同形高频词 在学校和军队场景差异大,llm_v2_human_reviewed,true,orthographic|education|noun,ready,pending,mark given for school work,rang dans une armée ou une administration,成绩；军衔,She got a high grade in math.,Il a le grade de capitaine.,她数学成绩很高；他的军衔是上尉。,high
recipe,recette,食谱；收入,partial_cognate,0.49,0.62,medium,3,共享做饭义 但法语还有收入义,llm_v2_human_reviewed,true,partial-cognate|family|food,ready,pending,set of instructions for cooking,formule de cuisine ou revenu encaissé,食谱；收入,This recipe uses fresh tomatoes.,Les recettes du musée ont augmenté.,这份食谱用了新鲜番茄；这家博物馆的收入增加了。,high
routine,routine,日常安排；惯例,cognate,0.93,0.10,high,2,家庭和学习场景都常用,llm_v2_human_reviewed,true,cognate|daily-life|family,ready,pending,regular way of doing things,habitude organisée de chaque jour,日常安排；惯例,A morning routine helps the kids arrive on time.,Une routine claire aide les enfants le matin.,清晰的晨间安排帮助孩子们准时到校；固定晨间惯例能帮助孩子们按时出门。,high
cousin,cousin,表亲；堂亲,cognate,0.95,0.08,high,1,家庭称谓高度一致,llm_v2_human_reviewed,true,cognate|family|noun,ready,pending,child of your aunt or uncle,enfant de votre oncle ou de votre tante,表亲；堂亲,My cousin lives near our school.,Mon cousin habite près de notre école.,我的表亲住在学校附近；我的堂表亲住在学校附近。,high
garage,garage,车库；修车行,cognate,0.93,0.12,high,1,家庭和出行场景都稳定,llm_v2_human_reviewed,true,cognate|daily-life|home,ready,pending,place to keep a car or repair it,lieu pour garer ou réparer une voiture,车库；修车行,The bike is in the garage.,La voiture est au garage depuis lundi.,自行车在车库里；这辆车从周一起就在修车行。,high
menu,menu,菜单,cognate,0.97,0.05,high,1,餐馆语境完全重合,llm_v2_human_reviewed,true,cognate|daily-life|food,ready,pending,list of food available,liste des plats proposés,菜单,The kids chose pasta from the menu.,Les enfants ont choisi des pâtes sur le menu.,孩子们从菜单上选了意面；孩子们在菜单上选了意面。,high
salon,salon,美发店；客厅,partial_cognate,0.36,0.71,medium,4,英语常指店铺 法语家庭中常指客厅,llm_v2_human_reviewed,true,partial-cognate|family|home,ready,pending,place where beauty treatment is offered,pièce principale d'une maison,美发店；客厅,She works at a hair salon downtown.,Les enfants jouent dans le salon.,她在市中心的美发店上班；孩子们在客厅里玩。,high
robe,robe,长袍；连衣裙,partial_cognate,0.41,0.63,medium,3,都指衣物 但法语日常里更常指连衣裙,llm_v2_human_reviewed,true,partial-cognate|daily-life|noun,ready,pending,loose long outer garment,vêtement féminin d'une seule pièce,长袍；连衣裙,The judge wore a black robe.,Elle a acheté une robe bleue pour la fête.,法官穿着黑色长袍；她为聚会买了一条蓝色连衣裙。,high
apartment,appartement,公寓,cognate,0.94,0.10,high,2,家居高频词 对应稳定,llm_v2_human_reviewed,true,cognate|family|home,ready,pending,set of rooms for living,logement dans un immeuble,公寓,Their apartment is near the station.,Leur appartement est près de la gare.,他们的公寓在车站附近；他们的公寓离车站很近。,high
reunion,réunion,团聚；会议,partial_cognate,0.61,0.39,medium,3,都有聚在一起义 但法语更常指会议,llm_v2_human_reviewed,true,partial-cognate|family|work,ready,pending,meeting again after time apart,rencontre organisée ou réunion,团聚；会议,The family reunion is this weekend.,La réunion du service commence à dix heures.,家庭团聚在这个周末；部门会议十点开始。,high
souvenir,souvenir,纪念品；回忆,partial_cognate,0.47,0.57,medium,3,英语多指实物 法语多指记忆,llm_v2_human_reviewed,true,partial-cognate|daily-life|culture,ready,pending,object kept to remember a place,mémoire ou souvenir du passé,纪念品；回忆,I bought a souvenir at the museum.,Ce voyage reste un beau souvenir.,我在博物馆买了件纪念品；这次旅行留下了美好回忆。,high
balance,balance,平衡；秤,orthographic_similar,0.14,0.86,high,4,同形高频词 家庭和购物场景容易误判,llm_v2_human_reviewed,true,orthographic|daily-life|noun,ready,pending,state of being steady or even,instrument pour peser,平衡；秤,Yoga helps her keep balance.,La balance est sur le comptoir.,瑜伽帮助她保持平衡；秤放在柜台上。,high
sale,sale,促销；脏的,orthographic_similar,0.06,0.95,high,5,同形高频词 在购物和日常描述中完全错位,llm_v2_human_reviewed,true,orthographic|daily-life|shopping,ready,pending,event when goods are sold more cheaply,qui n'est pas propre,促销；脏的,The winter sale starts tomorrow.,Cette veste est sale après le voyage.,冬季促销明天开始；这件外套旅行后变脏了。,high
comfort,confort,舒适；舒适感,cognate,0.92,0.12,high,2,家庭和家居语境对应稳定,llm_v2_human_reviewed,true,cognate|family|home,ready,pending,state of physical ease,état de bien être physique,舒适；舒适感,This sofa gives real comfort after work.,Ce canapé apporte un vrai confort le soir.,这个沙发下班后坐着很舒服；这张沙发晚上带来很强的舒适感。,high
rose,rose,玫瑰；粉色,orthographic_similar,0.16,0.84,high,3,同形高频词 在礼物和穿搭场景差异明显,llm_v2_human_reviewed,true,orthographic|daily-life|culture,ready,pending,flower with a sweet smell,couleur rose,玫瑰；粉色,He gave her a rose after dinner.,Elle porte un manteau rose aujourd'hui.,晚饭后他送了她一朵玫瑰；她今天穿着一件粉色外套。,high
administration,administration,行政；管理,cognate,0.93,0.11,high,2,工作和学校管理义一致,llm_v2_human_reviewed,true,cognate|work|admin,ready,pending,management of an organization,gestion d'une organisation,行政；管理,She works in school administration.,Il travaille dans l'administration de l'université.,她在学校做行政工作；他在大学行政部门工作。,high
candidate,candidat,候选人；申请人,cognate,0.95,0.09,high,2,招聘和考试语境稳定,llm_v2_human_reviewed,true,cognate|work|noun,ready,pending,person applying for a position,personne qui se présente ou pose sa candidature,候选人；申请人,The candidate arrived early for the interview.,Le candidat est arrivé tôt pour l'entretien.,这位申请人很早就到面试现场；这位候选人很早就来面试了。,high
contract,contrat,合同,cognate,0.96,0.08,high,2,行政和工作场景高度重合,llm_v2_human_reviewed,true,cognate|work|law,ready,pending,formal legal agreement,accord juridique formel,合同,Please read the contract before signing.,Merci de lire le contrat avant de signer.,签字前请先读合同；签署前请先看合同。,high
colleague,collègue,同事,cognate,0.92,0.12,high,2,办公场景对应稳定,llm_v2_human_reviewed,true,cognate|work|noun,ready,pending,person you work with,personne avec qui l'on travaille,同事,My colleague helped me finish the report.,Mon collègue m'a aidé à finir le dossier.,我的同事帮我完成了报告；我的同事帮我做完了材料。,high
director,directeur,负责人；主任,cognate,0.88,0.18,medium,3,工作场景中职务义基本对齐,llm_v2_human_reviewed,true,cognate|work|admin,ready,pending,person in charge of an organization or team,personne qui dirige un service ou une entreprise,负责人；主任,The director approved the budget today.,Le directeur a validé le budget aujourd'hui.,负责人今天批准了预算；主任今天通过了预算。,high
dossier,dossier,档案；申请材料,partial_cognate,0.58,0.46,medium,3,英语多指资料集 法语行政里常指办事材料,llm_v2_human_reviewed,true,partial-cognate|work|admin,ready,pending,collection of documents about a person or topic,ensemble de pièces pour une demande,档案；申请材料,Keep the customer dossier in this drawer.,Votre dossier est complet maintenant.,把客户档案放在这个抽屉里；你的申请材料现在齐了。,high
cabinet,cabinet,内阁；事务所,partial_cognate,0.43,0.66,medium,4,英语常见政府义 法语工作里常指事务所,llm_v2_human_reviewed,true,partial-cognate|work|medical,ready,pending,group of senior government ministers,bureau professionnel ou cabinet,内阁；事务所,The cabinet met after the speech.,Elle travaille dans un cabinet médical.,内阁在讲话后开会；她在一家医疗事务所工作。,high
direction,direction,方向；管理层,partial_cognate,0.54,0.47,medium,3,共享方向义 但法语工作里常指管理层,llm_v2_human_reviewed,true,partial-cognate|work|admin,ready,pending,way something moves or points,orientation ou équipe dirigeante,方向；管理层,The project is moving in the right direction.,La direction répondra demain.,这个项目正朝着正确方向推进；管理层明天会回复。,high
post,poste,帖子；岗位,partial_cognate,0.56,0.45,medium,3,英语网络义高频 法语工作里常指岗位,llm_v2_human_reviewed,true,partial-cognate|work|admin,ready,pending,message published online,emploi ou poste de travail,帖子；岗位,Her post got many views today.,Il cherche un poste à temps plein.,她今天发的帖子有很多浏览；他在找一份全职岗位。,high
bureau,bureau,局处；书桌,false_friend,0.19,0.84,high,4,英语行政义会误导法语家具义,llm_v2_human_reviewed,true,false-friend|work|admin,ready,pending,government office or agency,meuble pour travailler ou bureau,局处；书桌,The bureau released a new form.,Les clés sont sur le bureau.,这个局处发布了新表格；钥匙在书桌上。,high
resume,résumé,继续；摘要,false_friend,0.13,0.91,high,4,工作语境容易把法语 résumé 误当英文简历,llm_v2_human_reviewed,true,false-friend|work|verb,ready,pending,begin again after a pause,texte bref qui résume un contenu,继续；摘要,We will resume the meeting at two.,Le résumé du rapport tient sur une page.,我们两点继续开会；这份报告的摘要只有一页。,high
application,application,申请；应用,partial_cognate,0.51,0.53,medium,3,共享申请义 但法语还有执行和应用义,llm_v2_human_reviewed,true,partial-cognate|work|admin,ready,pending,formal request or form for a job or course,demande officielle ou mise en pratique,申请；应用,Her application for the post was complete.,L'application de la règle est immédiate.,她申请这个岗位的材料很完整；这项规则立即开始实施。,high
conference,conférence,会议；讲座,cognate,0.90,0.15,medium,2,工作和学术场景都常见,llm_v2_human_reviewed,true,cognate|work|academic,ready,pending,formal meeting or talk,réunion ou exposé officiel,会议；讲座,The conference starts after lunch.,La conférence commence après le déjeuner.,会议在午饭后开始；讲座在午饭后开始。,high
report,report,报告；延期,orthographic_similar,0.15,0.89,high,5,同形高频词 办公场景里极易误判,llm_v2_human_reviewed,true,orthographic|work|admin,ready,pending,written account of facts or results,action de remettre à plus tard,报告；延期,Send the report before noon.,Le report de la réunion a surpris l'équipe.,中午前把报告发出去；会议延期让团队很意外。,high
support,support,支持；载体,orthographic_similar,0.18,0.87,high,4,同形词 在办公和技术语境差异大,llm_v2_human_reviewed,true,orthographic|work|technology,ready,pending,help or backing,objet ou support matériel,支持；载体,Her team gave full support.,Le cours est disponible sur support numérique.,她的团队给了全力支持；课程资料可以在数字载体上查看。,high
fiction,fiction,小说；虚构作品,cognate,0.94,0.09,high,2,文化阅读语境下对应稳定,llm_v2_human_reviewed,true,cognate|media|culture,ready,pending,literature about imagined events,œuvre fondée sur l'imagination,小说；虚构作品,She prefers historical fiction in winter.,Elle préfère la fiction historique en hiver.,她冬天更喜欢读历史小说；她冬天更喜欢历史题材的虚构作品。,high
edition,édition,版本；版次,cognate,0.91,0.13,medium,2,出版和媒体场景高度重合,llm_v2_human_reviewed,true,cognate|media|culture,ready,pending,particular version of a published work,version publiée d'une œuvre,版本；版次,This edition includes new photos.,Cette édition contient de nouvelles photos.,这个版本收录了新照片；这一版加入了新照片。,high
scene,scène,场景；舞台场面,cognate,0.95,0.08,high,1,影视和戏剧义稳定对应,llm_v2_human_reviewed,true,cognate|media|culture,ready,pending,part of a play or a setting,partie d'une pièce ou décor,场景；舞台场面,That scene made the audience laugh.,Cette scène a fait rire le public.,那个场景把观众逗笑了；那一幕把观众逗笑了。,high
drama,drame,戏剧；悲剧事件,cognate,0.90,0.14,medium,2,文化和媒体中都高频,llm_v2_human_reviewed,true,cognate|culture|media,ready,pending,serious play or emotional event,pièce sérieuse ou événement tragique,戏剧；悲剧事件,The class watched a radio drama.,Ils ont vu un drame au théâtre.,这个班听了一部广播剧；他们在剧院看了一部严肃戏剧。,high
image,image,图像；形象,cognate,0.96,0.06,high,1,媒体基础词 对应稳定,llm_v2_human_reviewed,true,cognate|media|technology,ready,pending,picture or public impression,image visuelle ou image publique,图像；形象,The image on the screen is blurry.,L'image sur l'écran est floue.,屏幕上的图像很模糊；屏幕上的画面很模糊。,high
interview,interview,采访；访谈,cognate,0.89,0.18,medium,2,媒体和招聘场景都自然,llm_v2_human_reviewed,true,cognate|media|work,ready,pending,formal conversation with questions,entretien avec questions,采访；访谈,The station aired the interview at night.,La chaîne a diffusé l'interview le soir.,电台在晚上播出了这次采访；电视台在晚上播出了这段访谈。,high
review,revue,评论；杂志,false_friend,0.23,0.81,medium,4,英语评论义会误导法语刊物义,llm_v2_human_reviewed,true,false-friend|media|culture,ready,pending,article that evaluates a book film or product,magazine ou spectacle de revue,评论；杂志,Her review of the film was sharp.,Cette revue culturelle paraît chaque mois.,她写的电影评论很犀利；这本文化杂志每月出版。,high
reporter,reporter,记者；推迟,false_friend,0.08,0.95,high,5,媒体高频假朋友,llm_v2_human_reviewed,true,false-friend|media|verb,ready,pending,journalist who gathers news,remettre à plus tard,记者；推迟,The reporter spoke to local parents.,Nous devons reporter le concert.,这位记者采访了当地家长；我们必须把音乐会推迟。,high
audition,audition,试镜；听证,false_friend,0.18,0.83,high,4,英语媒体义会误导法语法律义,llm_v2_human_reviewed,true,false-friend|media|law,ready,pending,tryout for a performance role,audition officielle d'une personne par une autorité,试镜；听证,She has an audition for the play tonight.,L'audition du témoin commence à neuf heures.,她今晚要参加这部剧的试镜；对证人的听证九点开始。,high
comic,comique,漫画人物；滑稽的,partial_cognate,0.42,0.61,medium,3,英语常指漫画 法语常指滑稽风格,llm_v2_human_reviewed,true,partial-cognate|culture|adjective,ready,pending,comic book character or performer,qui fait rire ou relève du comique,漫画人物；滑稽的,My brother draws a comic for the school paper.,Le ton du film est très comique.,我哥哥给校报画一部漫画；这部电影的语气很滑稽。,high
audience,audience,观众；庭审,partial_cognate,0.46,0.59,medium,4,英语媒体义高频 法语还常指法庭开庭,llm_v2_human_reviewed,true,partial-cognate|media|law,ready,pending,group of people watching or listening,public ou séance devant un tribunal,观众；庭审,The audience applauded after the song.,L'audience reprend demain matin.,歌曲结束后观众鼓掌；庭审明天上午继续。,high
emission,émission,排放；节目,false_friend,0.20,0.84,medium,4,英语环境义常误导法语节目义,llm_v2_human_reviewed,true,false-friend|media|science,ready,pending,release of gas light or heat,programme de radio ou de télévision,排放；节目,The factory cut carbon emission this year.,Cette émission passe à vingt heures.,这家工厂今年减少了碳排放；这个节目晚上八点播出。,high
record,record,记录；纪录,orthographic_similar,0.14,0.90,high,4,同形高频词 在媒体和体育语境差异明显,llm_v2_human_reviewed,true,orthographic|media|sport,ready,pending,written or stored account of facts,meilleure performance atteinte,记录；纪录,Keep a record of every interview.,Elle a battu le record du club.,把每次采访都做成记录；她打破了俱乐部纪录。,high
clinic,clinique,诊所；门诊部,cognate,0.94,0.09,high,2,医疗语境稳定重合,llm_v2_human_reviewed,true,cognate|medical|noun,ready,pending,medical center for treatment,établissement médical de soins,诊所；门诊部,The clinic opens at seven.,La clinique ouvre à sept heures.,诊所七点开门；门诊部七点开始接诊。,high
consultation,consultation,会诊；咨询,cognate,0.88,0.16,medium,3,医疗和法律场景都自然,llm_v2_human_reviewed,true,cognate|medical|law,ready,pending,meeting to get expert advice,rendez vous pour obtenir un avis professionnel,会诊；咨询,The doctor scheduled a consultation for Monday.,Une consultation est prévue lundi matin.,医生把会诊安排在周一；周一早上安排了一次咨询。,high
